delta_x_state,T_out,H_out,C_out,R_out
T_in,0.0770010419688006,-0.001536673312247283,-0.006529499368874428,0.0002312165362824651
H_in,0.006976674899683738,0.124075046291997,0.03814837352598204,0.0001833098739418835
C_in,0.0003642754669561775,0.001675422358302278,1.020799137226268,-2.462627608354427e-05
L_DLI,-2.960935668788279e-06,1.379107259891004e-05,-1.379391249795169e-07,0.0002473133707375822
