x_state,T_in,H_in,C_in,L_DLI
T_in,0.9433667097703397,0.01601285740431086,0.0002144945161421291,2.025123725654741e-05
H_in,0.01220486275093109,0.9206817559062972,-0.008065474374555048,-1.253230375103307e-06
C_in,-0.0001083420865202826,-6.474296701448658e-05,0.1472324951966436,1.267345980500072e-05
L_DLI,-4.988468639972341e-06,5.381950274299458e-06,-4.540330204051429e-05,1.000000672085444
