x_state,U_heat,U_fan,U_nat,U_pad,U_dos,U_LED,U_hum,U_dehum,U_scre_shad,U_scre_warm
T_in,0.5718300819519295,-2.587899685683457,-0.2274715262719576,-0.1057555572898964,0.003124606515163429,0.09310374139490447,-0.07140437648190112,0.002162659057390782,-0.03629509818796094,0.05780348944441544
H_in,-0.0005176460580601039,-1.478455457845969,-0.1766600220870209,0.111040179407096,0.003085483404559326,0.01566944612407136,0.07707003399256386,-0.07198179313705552,-0.03434186947656138,-0.001582826544101351
C_in,-0.0006187764831890008,-1.312017170111035,-0.1199788386935624,0.002913009376561479,0.08540691271264191,-0.004849858883580178,-0.002137922732953871,0.002157276478700102,0.008192329154436054,-0.0004139191074212213
L_DLI,-3.852341962116459e-05,0.0002362161659193053,0.0002364265305447209,3.714550826872362e-05,0.0002053945487954641,0.03805570033515636,-2.082608806587423e-05,0.0001935718268778374,-0.04188088806707019,9.12622341955219e-05
